train_id,name,brand_name,category_name,item_description,price,item_condition_id,sale,shipping,supply_demand,img_score,img_url,price_url
0,Hanes Light Blue Hanes Women's Nano-t V-neck T-shirt S04v,Hanes,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",13.95,0,1,1,0,1,http://c.shld.net/rpx/i/s/pi/mp/5096/prod_11732214418?src=http%3A%2F%2Fs7d5.scene7.com%2Fis%2Fimage%2FHanesbrands%2FHBI_HS04_LightBlue%3F%24prodimage%24%26.vendor%3DB2BDataDownload&d=82a017ced381d96d976c4afa894ad4a742955c79,"http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000050960000000000000uS04VLBP&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000050960000000000000uS04VLBP?site=sears"
1,Hanes Light Blue Hanes Women's Nano-t V-neck T-shirt S04v,Hanes,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",15.95,0,1,1,0,0,http://c.shld.net/rpx/i/s/pi/mp/5096/prod_11732214418?src=http%3A%2F%2Fs7d5.scene7.com%2Fis%2Fimage%2FHanesbrands%2FHBI_HS04_LightBlue%3F%24prodimage%24%26.vendor%3DB2BDataDownload&d=82a017ced381d96d976c4afa894ad4a742955c79,"http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000050960000000000000uS04VLBP&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000050960000000000000uS04VLBP?site=sears"
2,Hanes Light Blue Hanes Women's Nano-t V-neck T-shirt S04v,Hanes,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",20,0,0,0,1,0,http://c.shld.net/rpx/i/s/pi/mp/5096/prod_11732214418?src=http%3A%2F%2Fs7d5.scene7.com%2Fis%2Fimage%2FHanesbrands%2FHBI_HS04_LightBlue%3F%24prodimage%24%26.vendor%3DB2BDataDownload&d=82a017ced381d96d976c4afa894ad4a742955c79,"http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000050960000000000000uS04VLBP&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000050960000000000000uS04VLBP?site=sears"
3,620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt Size Small,Nike,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",9.5,3,0,1,0,2,"http://i.ebayimg.com/00/s/MjAwWDIwMA==/z/WKIAAOSwNSxVPF6t/$_10.JPG?set_11.JPG?set_id=807,http://i.ebayimg.com/images/g/uJAAAOSw8vZXMoEk/s-l300.jpg","http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk,http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/201581751190?hash=item2eef356b96:g:uJAAAOSw8vZXMoEk"
4,620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt Size Small,Nike,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",15.5,3,0,1,0,1,"http://i.ebayimg.com/00/s/MjAwWDIwMA==/z/WKIAAOSwNSxVPF6t/$_10.JPG?set_11.JPG?set_id=807,http://i.ebayimg.com/images/g/uJAAAOSw8vZXMoEk/s-l300.jpg","http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk,http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/201581751190?hash=item2eef356b96:g:uJAAAOSw8vZXMoEk"
5,620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt Size Small,Nike,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",31.95,3,0,0,1,0,"http://i.ebayimg.com/00/s/MjAwWDIwMA==/z/WKIAAOSwNSxVPF6t/$_10.JPG?set_11.JPG?set_id=807,http://i.ebayimg.com/images/g/uJAAAOSw8vZXMoEk/s-l300.jpg","http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk,http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/201581751190?hash=item2eef356b96:g:uJAAAOSw8vZXMoEk"
6,Hanes Vintage Green Hanes Women's Nano-t V-neck T-shirt S04v,Hanes,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",13.95,0,1,0,0,2,http://c.shld.net/rpx/i/s/pi/mp/5096/prod_11731702018?src=http%3A%2F%2Fs7d5.scene7.com%2Fis%2Fimage%2FHanesbrands%2FHBI_HS04_VintageGreen%3F%24prodimage%24%26.vendor%3DB2BDataDownload&d=7a67d823080da4853e5745b535852b31d1776ce1,"http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000050960000000000000uS04VV4P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000050960000000000000uS04VV4P?site=sears"
7,Hanes Vintage Green Hanes Women's Nano-t V-neck T-shirt S04v,Hanes,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",15.95,0,1,0,0,1,http://c.shld.net/rpx/i/s/pi/mp/5096/prod_11731702018?src=http%3A%2F%2Fs7d5.scene7.com%2Fis%2Fimage%2FHanesbrands%2FHBI_HS04_VintageGreen%3F%24prodimage%24%26.vendor%3DB2BDataDownload&d=7a67d823080da4853e5745b535852b31d1776ce1,"http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000050960000000000000uS04VV4P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000050960000000000000uS04VV4P?site=sears"
8,Hanes Vintage Green Hanes Women's Nano-t V-neck T-shirt S04v,Hanes,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",20,0,0,1,1,0,http://c.shld.net/rpx/i/s/pi/mp/5096/prod_11731702018?src=http%3A%2F%2Fs7d5.scene7.com%2Fis%2Fimage%2FHanesbrands%2FHBI_HS04_VintageGreen%3F%24prodimage%24%26.vendor%3DB2BDataDownload&d=7a67d823080da4853e5745b535852b31d1776ce1,"http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000050960000000000000uS04VV4P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000050960000000000000uS04VV4P?site=sears"
9,Ujena White Cover-up Style T-shirt Dress,UjENA,"Clothing,Women,T-shirt","[{""dateSeen"":[""2016-07-11T01:41:47Z""],""sourceURLs"":[""http://www.ebay.com/itm/620415-483-New-Womens-Nike-Pro-Hyperwarm-Infinity-Training-Shirt-SIZE-SMALL-/391454317899?hash=item5b247edd4b:g:uJAAAOSw8vZXMoEk""],""value"":""620415 483 New Womens Nike Pro Hyperwarm Infinity Training Shirt SIZE SMALL in Clothing, Shoes & Accessories, Women's Clothing, Athletic Apparel | eBay""}]",68,0,1,1,0,3,"http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3591040126?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2FP530-2.jpg&d=e52fd4157b5929185c1a9e7b2207a85e4926c835,http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3601759926?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2Fsize-chart.jpg&d=c3bc9162de107cc4361fdf73ebf52268a605cb6d,http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3591040226?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2FP530-0.jpg&d=9a21ef7c8114a4e9c1521d0bfed4f27f4cdf4e24,http://c.shld.net/rpx/i/s/pi/mp/37933/prod_3591040026?src=http%3A%2F%2Fwww.nishidaftari.com%2Fswim%2FP530-1.jpg&d=c0dc43fe9e9a4adf8349ea7fcf713d09997367ea","http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=000000000000000379330000000000000000P530P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,http://www.sears.com/content/pdp/config/products/v1/products/000000000000000379330000000000000000P530P?site=sears"
