train_id,name,brand_name,category_name,item_description,,price,item_condition_id,sale,img_score,supply_demand,shipping,img_url,price_url
0,Jessica Simpson Mariani Women  Open-toe Canvas  Heels,Jessica Simpson,"Shoes,Women,Heels","[{""dateSeen"":[""2016-11-04T03:09:33Z""],""sourceURLs"":[""https://www.walmart.com/ip/Jessica-Simpson-Mariani-Women-US-7-Bronze-Heels-EU-37/54128911""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Jessica Simpson offers a wide variety of shoes and accessories guaranteed to suit any occasion and satisfy any budget. Reflective of her All-American image and inspired by her lifestyle, Jessica Simpsons footwear and accessories make it effortlessly easy to be an everyday fashionista. ps6161241""}]",,110,1,0,0,0,0,https://www.walmart.com/ip/Jessica-Simpson-Mariani-Women-US-7-Bronze-Heels-EU-37/54128911,https://i5.walmartimages.com/asr/467d9b19-2932-4a86-a4d7-b8b62e8b5f45_1.ccfdad456177d23a18550fec461e32d5.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
1,Jessica Simpson Mariani Women  Open-toe Canvas  Heels,Jessica Simpson,"Shoes,Women,Heels","[{""dateSeen"":[""2016-11-04T03:09:33Z""],""sourceURLs"":[""https://www.walmart.com/ip/Jessica-Simpson-Mariani-Women-US-7-Bronze-Heels-EU-37/54128911""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Jessica Simpson offers a wide variety of shoes and accessories guaranteed to suit any occasion and satisfy any budget. Reflective of her All-American image and inspired by her lifestyle, Jessica Simpsons footwear and accessories make it effortlessly easy to be an everyday fashionista. ps6161241""}]",,33.99,1,1,2,0,0,https://www.walmart.com/ip/Jessica-Simpson-Mariani-Women-US-7-Bronze-Heels-EU-37/54128911,https://i5.walmartimages.com/asr/467d9b19-2932-4a86-a4d7-b8b62e8b5f45_1.ccfdad456177d23a18550fec461e32d5.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
2,"Jessica Simpson Apple Pumps Hi Heel Women's Shoes ,black Color, Size:10m,new",Jessica Simpson,"Shoes,Women,Heels","[{""dateSeen"":[""2016-11-04T03:09:33Z""],""sourceURLs"":[""https://www.walmart.com/ip/Jessica-Simpson-Mariani-Women-US-7-Bronze-Heels-EU-37/54128911""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Jessica Simpson offers a wide variety of shoes and accessories guaranteed to suit any occasion and satisfy any budget. Reflective of her All-American image and inspired by her lifestyle, Jessica Simpsons footwear and accessories make it effortlessly easy to be an everyday fashionista. ps6161241""}]",,24.99,2,1,2,1,1,http://www.ebay.com/itm/Jessica-Simpson-Apple-Pumps-Hi-Heel-Womens-Shoes-Black-Color-Size-10M-New-/322036601094?hash=item4afae09106:g:Y3AAAOSwpDdVfhrY,"http://i.ebayimg.com/images/g/Y3AAAOSwpDdVfhrY/s-l300.jpg,http://i.ebayimg.com/images/g/Y3AAAOSwpDdVfhrY/s-l64.jpg,http://i.ebayimg.com/images/g/VMcAAOSw3xJVfhrS/s-l64.jpg,http://i.ebayimg.com/images/g/Y7MAAOSwpDdVfhrc/s-l64.jpg,http://i.ebayimg.com/images/g/iwUAAOSweW5VfhrT/s-l64.jpg,http://i.ebayimg.com/images/g/BYMAAOSwstxVfhrV/s-l64.jpg,http://i.ebayimg.com/images/g/i10AAOSweW5VfhrZ/s-l64.jpg,http://i.ebayimg.com/images/g/i3IAAOSweW5Vfhrb/s-l64.jpg,http://i.ebayimg.com/images/g/cIYAAOSwrklVfhrd/s-l64.jpg,http://i.ebayimg.com/00/s/MjEyWDQwMA==/z/F0sAAOSwuYVWn9DB/$_10.JPG?set_11.JPG?set_id=807"
3,"Jessica Simpson Apple Pumps Hi Heel Women's Shoes ,black Color, Size:10m,new",Jessica Simpson,"Shoes,Women,Heels","[{""dateSeen"":[""2016-11-04T03:09:33Z""],""sourceURLs"":[""https://www.walmart.com/ip/Jessica-Simpson-Mariani-Women-US-7-Bronze-Heels-EU-37/54128911""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Brand Style - Jessica Simpson Mariani Width - Medium (B, M) True Color - Copper Combo Upper Material - Fabric Outsole Material - Man-Made Heel Height - 4.5 Inches Jessica Simpson offers a wide variety of shoes and accessories guaranteed to suit any occasion and satisfy any budget. Reflective of her All-American image and inspired by her lifestyle, Jessica Simpsons footwear and accessories make it effortlessly easy to be an everyday fashionista. ps6161241""}]",,49.99,2,0,1,0,0,http://www.ebay.com/itm/Jessica-Simpson-Apple-Pumps-Hi-Heel-Womens-Shoes-Black-Color-Size-10M-New-/322036601094?hash=item4afae09106:g:Y3AAAOSwpDdVfhrY,"http://i.ebayimg.com/images/g/Y3AAAOSwpDdVfhrY/s-l300.jpg,http://i.ebayimg.com/images/g/Y3AAAOSwpDdVfhrY/s-l64.jpg,http://i.ebayimg.com/images/g/VMcAAOSw3xJVfhrS/s-l64.jpg,http://i.ebayimg.com/images/g/Y7MAAOSwpDdVfhrc/s-l64.jpg,http://i.ebayimg.com/images/g/iwUAAOSweW5VfhrT/s-l64.jpg,http://i.ebayimg.com/images/g/BYMAAOSwstxVfhrV/s-l64.jpg,http://i.ebayimg.com/images/g/i10AAOSweW5VfhrZ/s-l64.jpg,http://i.ebayimg.com/images/g/i3IAAOSweW5Vfhrb/s-l64.jpg,http://i.ebayimg.com/images/g/cIYAAOSwrklVfhrd/s-l64.jpg,http://i.ebayimg.com/00/s/MjEyWDQwMA==/z/F0sAAOSwuYVWn9DB/$_10.JPG?set_11.JPG?set_id=807"
4,Cesare Paciotti  Womens Kid Suede Pumps Heels Shoes,Cesare Paciotti,"Shoes,Women,Heels","[{""dateSeen"":[""2017-01-24T18:52:46Z""],""sourceURLs"":[""https://www.walmart.com/ip/Style-Co-Women-s-Rachael-Thong-Sandal/578302499""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Style Co. Women's Rachael Thong SandalThe Rachael Flat Thong Sandals by Style Co. will brighten any look. They are the perfect slip-on and go sandals, they go with everything, and they are super comfortable. Wear them with everything, from boot-cut jeans and relaxed tees, to flounce skirts and tops, or maxi dresses on those warm summer days. Style: SlidesClosure Type: Slip OnMaterial: SyntheticOccasion: CasualStrap Type: ThongParentSku: pp-e6832fc5 Style: Slides, Closure Type: Slip On, Material: Synthetic, Occasion: Casual, Strap Type: Thong, Style : RACHAEL, Brand Name: Style Co., Department: Womens, Category: Flat Sandals""}]",,367.99,1,1,1,0,0,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=0000000000000002650900000000000052183595P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,"http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271615?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FfKJanJzdyaYwinNnVdnWGdIimaFgexyP-14.jpg&d=c6a2e5fb393bcd72b8e412086d22f50c644879bb,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271515?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FdXIomK0nWEcBqplc9wH2ZNm4P9cfQwLS-14.jpg&d=90fdd0bccdfdbc2029eae9eacd67703b47132011,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271815?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2F4ltKU31MT6Y5jFv1NfYnzbLZXqQUKX1n-14.jpg&d=c794e53652c1117a0aa8f94caf98219a428e658a,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271715?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FuZIWH2QQPlWL1WAOV6DNpFThF0BFEaRU-14.jpg&d=c7ea96eec5367f67b88db6211f86a5226022b1ac,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271415?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FIvOkJlVAI712r7AhYCZI7jDIcgMH1Enx-14.jpg&d=e99d7671360b1a5df6c58e992380c2a0fa7fadac"
5,Cesare Paciotti  Womens Kid Suede Pumps Heels Shoes,Cesare Paciotti,"Shoes,Women,Heels","[{""dateSeen"":[""2017-01-18T19:03:54Z""],""sourceURLs"":[""https://www.walmart.com/ip/Twisted-X-Work-Boots-Womens-Lite-Steel-Toe-Bomber-WLCS002/125315680""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Description: Women's-Lite Cowboy Workboot-Bomber/Bomber-11-NWS Toe-Steel Toe .Collection: Work Collection.Primary Color: Bomber.Sole Composition: Genuine Super Slab Rubber Outsole. Fabric Care Instructions: Use quality leather care products.""}]",,690,2,0,0,1,0,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=0000000000000002650900000000000052183595P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,"http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271615?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FfKJanJzdyaYwinNnVdnWGdIimaFgexyP-14.jpg&d=c6a2e5fb393bcd72b8e412086d22f50c644879bb,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271515?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FdXIomK0nWEcBqplc9wH2ZNm4P9cfQwLS-14.jpg&d=90fdd0bccdfdbc2029eae9eacd67703b47132011,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271815?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2F4ltKU31MT6Y5jFv1NfYnzbLZXqQUKX1n-14.jpg&d=c794e53652c1117a0aa8f94caf98219a428e658a,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271715?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FuZIWH2QQPlWL1WAOV6DNpFThF0BFEaRU-14.jpg&d=c7ea96eec5367f67b88db6211f86a5226022b1ac,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7069271415?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FIvOkJlVAI712r7AhYCZI7jDIcgMH1Enx-14.jpg&d=e99d7671360b1a5df6c58e992380c2a0fa7fadac"
6,Cesare Paciotti  Womens Kid Suede Pumps Heels Shoes,Cesare Paciotti,"Shoes,Women,Heels","[{""dateSeen"":[""2017-01-24T18:52:46Z""],""sourceURLs"":[""https://www.walmart.com/ip/Style-Co-Women-s-Rachael-Thong-Sandal/578302499""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Style Co. Women's Rachael Thong SandalThe Rachael Flat Thong Sandals by Style Co. will brighten any look. They are the perfect slip-on and go sandals, they go with everything, and they are super comfortable. Wear them with everything, from boot-cut jeans and relaxed tees, to flounce skirts and tops, or maxi dresses on those warm summer days. Style: SlidesClosure Type: Slip OnMaterial: SyntheticOccasion: CasualStrap Type: ThongParentSku: pp-e6832fc5 Style: Slides, Closure Type: Slip On, Material: Synthetic, Occasion: Casual, Strap Type: Thong, Style : RACHAEL, Brand Name: Style Co., Department: Womens, Category: Flat Sandals""}]",,367.99,1,1,1,0,1,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=0000000000000002650900000000000054432563P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,"http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477115?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FJo8nEq8c20r4tk7rjaKEJetX5rEjXAcR-14.jpg&d=9913dc286f17d39018fea3bcb726f06b4917c74f,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477315?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FzITgVGgJ6eb0roUK1AgVh261cFK6LxRs-14.jpg&d=fdc646a792532d4958a2a07ba9a4109411159be8,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477415?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FflupNzH2jM4rCc9VRmKHuNYtCVLHIBX3-14.jpg&d=ca36a2a8185b7af215079222746102e8a1924253,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477215?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FSF3a0yWo1x0d4AQ44gvWPA9lfJpXbo28-14.jpg&d=86f8de5059eaafd5a7c5301074adb3a56935f20f,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477015?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FCjKSNaoZEg1FFRtU8XtpzijXKE7A2FfG-14.jpg&d=855223998a37962a0194e79e7551a8661920011b"
7,Cesare Paciotti  Womens Kid Suede Pumps Heels Shoes,Cesare Paciotti,"Shoes,Women,Heels","[{""dateSeen"":[""2017-01-18T19:03:54Z""],""sourceURLs"":[""https://www.walmart.com/ip/Twisted-X-Work-Boots-Womens-Lite-Steel-Toe-Bomber-WLCS002/125315680""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Description: Women's-Lite Cowboy Workboot-Bomber/Bomber-11-NWS Toe-Steel Toe .Collection: Work Collection.Primary Color: Bomber.Sole Composition: Genuine Super Slab Rubber Outsole. Fabric Care Instructions: Use quality leather care products.""}]",,690,3,0,0,0,0,http://www.sears.com/content/pdp/products/pricing/v1/get/price/display/json?pid=0000000000000002650900000000000054432563P&pidType=3&priceMatch=Y&memberStatus=G&storeId=10153,"http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477115?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FJo8nEq8c20r4tk7rjaKEJetX5rEjXAcR-14.jpg&d=9913dc286f17d39018fea3bcb726f06b4917c74f,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477315?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FzITgVGgJ6eb0roUK1AgVh261cFK6LxRs-14.jpg&d=fdc646a792532d4958a2a07ba9a4109411159be8,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477415?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FflupNzH2jM4rCc9VRmKHuNYtCVLHIBX3-14.jpg&d=ca36a2a8185b7af215079222746102e8a1924253,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477215?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FSF3a0yWo1x0d4AQ44gvWPA9lfJpXbo28-14.jpg&d=86f8de5059eaafd5a7c5301074adb3a56935f20f,http://c.shld.net/rpx/i/s/pi/mp/26509/prod_7239477015?src=http%3A%2F%2Fi.shoeluv.com%2Fmedia%2FCjKSNaoZEg1FFRtU8XtpzijXKE7A2FfG-14.jpg&d=855223998a37962a0194e79e7551a8661920011b"
8,Michael Michael Kors Mavis Back Zip Women  Open-toe Leather Gold Heels,MICHAEL Michael Kors,"Shoes,Women,Heels","[{""dateSeen"":[""2016-11-04T02:52:23Z""],""sourceURLs"":[""https://www.walmart.com/ip/Michael-Michael-Kors-Mavis-Back-Zip-Women-US-7.5-Gold-Heels/54010054""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Brand Style - Michael Michael Kors Mavis Back Zip Width - Medium (B, M) True Color - Pale Gold Upper Material - Distressed Leather Outsole Material - Man-Made Heel Height - 4 Inches Brand Style - Michael Michael Kors Mavis Back Zip Width - Medium (B, M) True Color - Pale Gold Upper Material - Distressed Leather Outsole Material - Man-Made Heel Height - 4 Inches ps6819931""}]",,225,1,0,0,1,1,https://www.walmart.com/ip/Michael-Michael-Kors-Mavis-Back-Zip-Women-US-7.5-Gold-Heels/54010054,https://i5.walmartimages.com/asr/250ffb59-2b7e-4ec1-835c-d8a610ed6357_1.ce019437f8edda2768a886eb0fd6632c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
9,Michael Michael Kors Mavis Back Zip Women  Open-toe Leather Gold Heels,MICHAEL Michael Kors,"Shoes,Women,Heels","[{""dateSeen"":[""2016-11-04T02:52:23Z""],""sourceURLs"":[""https://www.walmart.com/ip/Michael-Michael-Kors-Mavis-Back-Zip-Women-US-7.5-Gold-Heels/54010054""],""value"":""Important Made in USA Origin Disclaimer: For certain items sold by Walmart on Walmart.com, the displayed country of origin information may not be accurate or consistent with manufacturer information. For updated, accurate country of origin data, it is recommended that you rely on product packaging or manufacturer information. Brand Style - Michael Michael Kors Mavis Back Zip Width - Medium (B, M) True Color - Pale Gold Upper Material - Distressed Leather Outsole Material - Man-Made Heel Height - 4 Inches Brand Style - Michael Michael Kors Mavis Back Zip Width - Medium (B, M) True Color - Pale Gold Upper Material - Distressed Leather Outsole Material - Man-Made Heel Height - 4 Inches ps6819931""}]",,75.99,1,1,2,0,0,https://www.walmart.com/ip/Michael-Michael-Kors-Mavis-Back-Zip-Women-US-7.5-Gold-Heels/54010054,https://i5.walmartimages.com/asr/250ffb59-2b7e-4ec1-835c-d8a610ed6357_1.ce019437f8edda2768a886eb0fd6632c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF
